date,sku,stock,reserved,sales,country,price_de,price_ae,price_at,price_be,price_bg,price_ca,price_ch,price_cl,price_cy,price_cz,price_dk,price_gp,price_ee,price_es,price_fi,price_fr,price_gr,price_hr,price_hu,price_il,price_is,price_it,price_kr,price_lt,price_lu,price_lv,price_mc,price_mt,price_nl,price_no,price_pl,price_pt,price_ro,price_se,price_si,price_sk,price_tr,sale_de,sale_ae,sale_at,sale_be,sale_bg,sale_ca,sale_ch,sale_cl,sale_cy,sale_cz,sale_dk,sale_gp,sale_ee,sale_es,sale_fi,sale_fr,sale_gr,sale_hr,sale_hu,sale_il,sale_is,sale_it,sale_kr,sale_lt,sale_lu,sale_lv,sale_mc,sale_mt,sale_nl,sale_no,sale_pl,sale_pt,sale_ro,sale_se,sale_si,sale_sk,sale_tr
2021-09-22,B0000002,76,16,2,FR,33.9500007629395,,,,,,,,,,,,,,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-22,B0000009,78,14,7,IT,45.0833333333333,,48.2999992370606,,,,,,,,,,,,,,,,,,,37.9500007629395,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-23,B0000010,,,9,FR,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-23,B0000001,,,22,IT,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,18,,1,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-23,B0000002,,,6,DE,33.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-23,B0000009,,,3,SE,,,,,,,,,,,,,,,,,,,,,,37.9500007629395,,,,,,,34.9500007629395,,,,,364.929992675781,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,
2021-09-24,B0000010,58,148,6,IT,29.5900001525879,,,,,,,,,,,,,,,,,,,,,34.5200004577637,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-24,B0000001,355,128,21,IT,25.9500007629395,,,,,,,,,,,,,23.5066674550374,,,,,,,,28.75,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,
2021-09-24,B0000002,67,25,9,SE,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,,,,,,,,,,,,,364.929992675781,,,,6,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,
2021-09-24,B0000009,79,4,2,IT,,,,,,,,,,,,,,,,48.4900016784668,,,,,,31.1100006103516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-25,B0000010,83,115,7,FR,29.5900001525879,,,,,,,,,,,,,31.6399993896484,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-25,B0000001,354,112,17,FR,25.9500007629395,,26.1700000762939,,,,,,,,,,,,,28.1900005340576,,,,,,,,,,,,,,,,,,,,,,9,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-25,B0000002,63,23,7,DE,33.9500007629395,,31.3850011825562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
